
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5C:35:3B:C5:BE:3B, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 270, WPA2, CCMP, PSK, -56,       36,       13,   0.  0.  0.  0,   9, KDG-5BE36, 
04:35:3B:C5:BE:3D, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 270, OPN, ,   , -52,       29,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
58:96:30:FB:CF:90, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 195, WPA2, CCMP, PSK, -54,       19,        2,   0.  0.  0.  0,  13, Vodafone-CF8C, 
5A:96:30:FB:CF:92, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 195, OPN, ,   , -53,       18,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
5A:96:30:FB:CF:94, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 195, OPN, ,   , -53,       22,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
06:35:3B:C5:BE:3E, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 270, OPN, ,   , -57,       27,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
F8:5E:42:76:20:20, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 195, WPA2, CCMP, PSK, -54,       28,        2,   0.  0.  0.  0,  13, Vodafone-201C, 
FA:5E:42:76:20:22, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 195, OPN, ,   , -54,       30,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
FA:5E:42:76:20:24, 2025-04-09 13:25:12, 2025-04-09 13:25:21,  1, 195, OPN, ,   , -54,       32,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
E8:DF:70:B2:0C:12, 2025-04-09 13:25:14, 2025-04-09 13:25:14, 11, 130, WPA2, CCMP, PSK, -61,        1,        0,   0.  0.  0.  0,  14, FRITZ!Box 7412, 
B0:F2:08:96:EC:D7, 2025-04-09 13:25:15, 2025-04-09 13:25:19,  6, 360, WPA2, CCMP, PSK, -53,        4,        0,   0.  0.  0.  0,   5, VIRUS, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0C:2F:B0:1F:E8:EA, 2025-04-09 13:25:14, 2025-04-09 13:25:14, -53,        1, 5C:35:3B:C5:BE:3B,
F4:CF:A2:0F:83:41, 2025-04-09 13:25:21, 2025-04-09 13:25:21, -54,        2, 58:96:30:FB:CF:90,
F4:CF:A2:11:D9:A5, 2025-04-09 13:25:21, 2025-04-09 13:25:21, -53,        1, 58:96:30:FB:CF:90,

