
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:96:30:FB:CF:90, 2025-04-09 13:46:35, 2025-04-09 13:47:28,  1, 195, WPA2, CCMP, PSK, -48,       96,        3,   0.  0.  0.  0,  13, Vodafone-CF8C, 
5A:96:30:FB:CF:92, 2025-04-09 13:46:35, 2025-04-09 13:47:28,  1, 195, OPN, ,   , -48,      106,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
5A:96:30:FB:CF:94, 2025-04-09 13:46:35, 2025-04-09 13:47:28,  1, 195, OPN, ,   , -49,      111,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
F8:5E:42:76:20:20, 2025-04-09 13:46:35, 2025-04-09 13:47:28,  1, 195, WPA2, CCMP, PSK, -55,       83,        5,   0.  0.  0.  0,  13, Vodafone-201C, 
5C:35:3B:C5:BE:3B, 2025-04-09 13:46:35, 2025-04-09 13:47:27,  1, 270, WPA2, CCMP, PSK, -52,       92,        4,   0.  0.  0.  0,   9, KDG-5BE36, 
FA:5E:42:76:20:22, 2025-04-09 13:46:35, 2025-04-09 13:47:28,  1, 195, OPN, ,   , -54,       80,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
FA:5E:42:76:20:24, 2025-04-09 13:46:35, 2025-04-09 13:47:28,  1, 195, OPN, ,   , -55,       83,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
04:35:3B:C5:BE:3D, 2025-04-09 13:46:35, 2025-04-09 13:47:27,  1, 270, OPN, ,   , -51,       83,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
06:35:3B:C5:BE:3E, 2025-04-09 13:46:35, 2025-04-09 13:47:28,  1, 270, OPN, ,   , -52,       84,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
B0:F2:08:96:EC:D7, 2025-04-09 13:46:35, 2025-04-09 13:47:26,  6, 360, WPA2, CCMP, PSK, -52,       27,        7,   0.  0.  0.  0,   5, VIRUS, 
0C:72:74:01:22:B5, 2025-04-09 13:46:38, 2025-04-09 13:47:26, 11, 360, WPA2, CCMP, PSK, -50,       28,        3,   0.  0.  0.  0,  23, FRITZ!Box 6660 Cable LH, 
E8:DF:70:B2:0C:12, 2025-04-09 13:46:38, 2025-04-09 13:47:22, 11, 130, WPA2, CCMP, PSK, -64,       18,        0,   0.  0.  0.  0,  14, FRITZ!Box 7412, 
8E:72:74:01:22:B5, 2025-04-09 13:46:42, 2025-04-09 13:47:26, 11, 360, OPN, ,   , -50,       25,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
E6:F7:5B:2B:3F:B1, 2025-04-09 13:46:46, 2025-04-09 13:47:22,  6, 195, OPN, ,   , -67,       12,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
E4:F7:5B:2B:3F:F1, 2025-04-09 13:46:46, 2025-04-09 13:47:22,  6, 195, WPA2, CCMP, PSK, -68,        9,        0,   0.  0.  0.  0,  13, Vodafone-456E, 
E6:F7:5B:2B:3F:91, 2025-04-09 13:46:50, 2025-04-09 13:47:26,  6, 195, OPN, ,   , -68,        7,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F4:CF:A2:11:D9:A5, 2025-04-09 13:46:35, 2025-04-09 13:46:35, -52,        1, 58:96:30:FB:CF:90,
F4:CF:A2:0F:83:41, 2025-04-09 13:46:35, 2025-04-09 13:46:35, -54,        2, 58:96:30:FB:CF:90,
EE:8C:C4:68:AE:80, 2025-04-09 13:46:50, 2025-04-09 13:47:22, -56,        3, B0:F2:08:96:EC:D7,
5E:35:32:D7:6D:59, 2025-04-09 13:46:54, 2025-04-09 13:47:14, -58,        6, B0:F2:08:96:EC:D7,

